timestamp,media-movel-exponencial,media-movel
2018-07-02 00:00:00,100.47796541684633,100.52476174490792
2018-07-03 00:00:00,100.34815065638374,100.4000000726609
2018-07-05 00:00:00,100.29468260909707,100.28428577241444
2018-07-06 00:00:00,100.3733481593709,100.22095271519252
2018-07-09 00:00:00,100.50758909707547,100.26714324951172
2018-07-10 00:00:00,100.65417215612152,100.29047684442429
2018-07-11 00:00:00,100.77470226528625,100.33476257324219
2018-07-12 00:00:00,101.08518409947898,100.47190566289993
2018-07-13 00:00:00,101.48016739090596,100.69000098818825
2018-07-16 00:00:00,101.79197068828809,100.85619172595796
2018-07-17 00:00:00,102.16997307555664,101.13333456856864
2018-07-18 00:00:00,102.4381575911044,101.33619181315105
2018-07-19 00:00:00,102.61650703972026,101.50476328531902
2018-07-20 00:00:00,102.94864245820628,101.71428680419922
2018-07-23 00:00:00,103.40512961843326,102.0395249866304
2018-07-24 00:00:00,103.79193634967655,102.38476308186848
2018-07-25 00:00:00,104.43176048434728,102.97714415050689
2018-07-26 00:00:00,104.90341887182316,103.47904895600819
2018-07-27 00:00:00,105.1558353657643,103.96190606980096
2018-07-30 00:00:00,105.17530512765683,104.28285871233258
2018-07-31 00:00:00,105.25755028251118,104.6385730561756
2018-08-01 00:00:00,105.35050014585534,104.93714432489304
2018-08-02 00:00:00,105.55227283212523,105.34285845075335
2018-08-03 00:00:00,105.77842993061633,105.73714410691034
2018-08-06 00:00:00,105.99220877814373,106.06904856363933
2018-08-07 00:00:00,106.25473500316866,106.40381041027251
2018-08-08 00:00:00,106.54884980867783,106.75476255871001
2018-08-09 00:00:00,106.83259056870214,107.12095278785343
2018-08-10 00:00:00,107.02962778972922,107.3500002906436
2018-08-13 00:00:00,107.13693427106952,107.48238118489583
2018-08-14 00:00:00,107.35721275175355,107.7038094656808
2018-08-15 00:00:00,107.38473919814953,107.78523835681733
2018-08-16 00:00:00,107.40794467010399,107.90523819696335
2018-08-17 00:00:00,107.42358623019041,108.05666678292411
2018-08-20 00:00:00,107.37326045895328,108.08523850213913
2018-08-21 00:00:00,107.24660072240603,107.99047669910249
2018-08-22 00:00:00,107.22963679842309,107.96190497988746
2018-08-23 00:00:00,107.25966959480223,107.80619049072266
2018-08-24 00:00:00,107.36333613399101,107.7480951944987
2018-08-27 00:00:00,107.56666907400283,107.8395236787342
2018-08-28 00:00:00,107.81151753420535,108.07238079252697
2018-08-29 00:00:00,108.1941065441018,108.35523768833706
2018-08-30 00:00:00,108.53555112629638,108.62523760114398
2018-08-31 00:00:00,108.88050119036532,108.8519043695359
2018-09-04 00:00:00,109.1377282716478,109.02666618710472
2018-09-05 00:00:00,109.07884368911341,109.04380907331195
2018-09-06 00:00:00,109.04803952317306,109.03714243570964
2018-09-07 00:00:00,108.97185402874575,108.97619011288597
2018-09-10 00:00:00,109.0089579582614,108.96238054547992
2018-09-11 00:00:00,109.21177976785305,109.06904711042132
2018-09-12 00:00:00,109.43889061481846,109.23571377708798
2018-09-13 00:00:00,109.75444634639035,109.3952378772554
2018-09-14 00:00:00,110.08313329186231,109.66714259556362
2018-09-17 00:00:00,110.27012111893377,109.88142830984933
2018-09-18 00:00:00,110.53738275216458,110.14952341715495
2018-09-19 00:00:00,110.64307495180799,110.37952314104352
2018-09-20 00:00:00,110.90915901935492,110.74095153808594
2018-09-21 00:00:00,111.21378112088905,111.08380889892578
2018-09-24 00:00:00,111.52798267071235,111.42238035656158
2018-09-25 00:00:00,111.79362033230596,111.71047537667411
2018-09-26 00:00:00,111.99238242545393,111.91904703776042
2018-09-27 00:00:00,112.21216617424078,112.11666615804036
2018-09-28 00:00:00,112.40833313536271,112.22857121058873
2018-10-01 00:00:00,112.69939381490714,112.4028570992606
2018-10-02 00:00:00,112.92217633408639,112.53714279901413
2018-10-03 00:00:00,113.12652377361901,112.70190466017951
2018-10-04 00:00:00,113.09593078651977,112.90666671026321
2018-10-05 00:00:00,113.00811864714689,113.06809525262742
2018-10-08 00:00:00,112.81192590414454,113.19380950927734
2018-10-09 00:00:00,112.76175101615235,113.33095259893508
2018-10-10 00:00:00,112.1615921657848,113.08904811314174
2018-10-11 00:00:00,111.59326593817794,112.81285785493397
2018-10-12 00:00:00,111.4093326433276,112.653810046968
2018-10-15 00:00:00,111.0630295370361,112.37904793875558
2018-10-16 00:00:00,111.05729957912372,112.32476225353423
2018-10-17 00:00:00,111.02572680688272,112.20571463448661
2018-10-18 00:00:00,110.79611527898427,112.05333382742745
2018-10-19 00:00:00,110.60192331381383,111.81952449253627
2018-10-22 00:00:00,110.51356639923237,111.5990480695452
2018-10-23 00:00:00,110.29415113331316,111.28619094122024
2018-10-24 00:00:00,109.5692282752687,110.7085720243908
2018-10-25 00:00:00,109.45384416404043,110.43809581938244
2018-10-26 00:00:00,109.22713097498881,110.08333369663784
2018-10-29 00:00:00,108.7383007476372,109.58238111223493
2018-10-30 00:00:00,108.28300098484596,109.01666695731026
2018-10-31 00:00:00,108.14909158245939,108.61952391124908
2018-11-01 00:00:00,107.94644672668538,108.17904772077289
2018-11-02 00:00:00,107.78404281172392,107.86333356584821
2018-11-05 00:00:00,107.7591300230427,107.6433337983631
2018-11-06 00:00:00,107.75557285919365,107.4942863101051
2018-11-07 00:00:00,108.13779342512811,107.48000045049758
2018-11-08 00:00:00,108.46617584102555,107.7461907523019
2018-11-09 00:00:00,108.56652346409815,107.92047627766927
2018-11-12 00:00:00,108.41229430796032,107.79190499441964
2018-11-13 00:00:00,108.27844959281904,107.76047661190941
